index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by
129,405-4908072-0260360,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,579,BENGALURU,KARNATAKA,560055,IN,FALSE,Easy Ship
138,408-1482435-5202714,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,788,CHIRMIRI,CHHATTISGARH,497449,IN,FALSE,Easy Ship
146,171-0131752-2560336,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1399,BARABANKI,UTTAR PRADESH,225001,IN,FALSE,Easy Ship
147,407-4235449-1353916,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,999,AMILA,UTTAR PRADESH,275301,IN,FALSE,Easy Ship
150,404-6513062-3876305,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,376,TIRUCHIRAPPALLI,TAMIL NADU,620018,IN,FALSE,Easy Ship
159,407-9863928-5979501,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,353,PARAVUR,KERALA,683513,IN,FALSE,Easy Ship
160,171-4644162-9093116,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,399,BASTI,UTTAR PRADESH,272001,IN,FALSE,Easy Ship
164,407-0542879-1795554,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,399,Mahendragarh,HARYANA,123027,IN,FALSE,Easy Ship
172,405-2660443-4165145,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,BENGALURU,KARNATAKA,560022,IN,FALSE,Easy Ship
177,407-4097885-3129958,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,L,Shipped,1,INR,387,VASAI VIRAR,MAHARASHTRA,401202,IN,FALSE,Easy Ship
178,171-1224053-5752314,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Trousers,L,On the Way,0,INR,463.81,BENGALURU,KARNATAKA,560087,IN,FALSE,Easy Ship
186,405-0732969-3941948,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,583,NEW TOWN,WEST BENGAL,700059,IN,FALSE,Easy Ship
196,404-6680046-0839536,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,744,Chennai,TAMIL NADU,600117,IN,FALSE,Easy Ship
7,406-7807733-3785945,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,399,HYDERABAD,TELANGANA,500032,IN,FALSE,Easy Ship
12,405-5513694-8146768,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XS,Shipped,1,INR,399,Amravati.,MAHARASHTRA,444606,IN,FALSE,Easy Ship
212,408-4547464-4180323,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,0,BHUBANESWAR,ODISHA,752054,IN,FALSE,Easy Ship
217,171-4350114-4299568,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,XS,Shipped,1,INR,399,PUNE,MAHARASHTRA,412207,IN,FALSE,Easy Ship
224,407-4737202-9096304,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,725,GAYA,BIHAR,823001,IN,FALSE,Easy Ship
226,407-4936046-5852304,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,T-shirt,XXL,On the Way,0,INR,1249.11,GURUGRAM,HARYANA,122001,IN,FALSE,Easy Ship
227,407-4936046-5852304,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,T-shirt,XXL,On the Way,0,INR,1058.93,GURUGRAM,HARYANA,122001,IN,FALSE,Easy Ship
235,406-2403215-8361103,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,999,BENGALURU,KARNATAKA,560102,IN,FALSE,Easy Ship
236,404-6578109-5618751,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,295,BENGALURU,KARNATAKA,560100,IN,FALSE,Easy Ship
244,403-5977671-8855508,2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,XS,Shipped,1,INR,1115,COOCH BEHAR,WEST BENGAL,736101,IN,FALSE,Easy Ship
246,404-0696150-3898703,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,499,PUNE,MAHARASHTRA,411037,IN,FALSE,Easy Ship
247,406-7586136-6520337,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,791,DEHRADUN,UTTARAKHAND,248009,IN,FALSE,Easy Ship
251,402-2703790-2816329,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,1278.57,JHARIA KHAS,JHARKHAND,828111,IN,FALSE,Easy Ship
253,405-9144614-1601126,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,533,Secunderabad,TELANGANA,500010,IN,FALSE,Easy Ship
261,171-4607096-6413920,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,563,NAGPUR,MAHARASHTRA,440036,IN,FALSE,Easy Ship
263,404-6975277-1927553,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,458,BERHAMPORE,WEST BENGAL,742103,IN,FALSE,Easy Ship
266,171-1584788-8864335,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1099,MUMBAI,MAHARASHTRA,400101,IN,FALSE,Easy Ship
270,407-5600921-2143569,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,INR,995.54,BENGALURU,KARNATAKA,560067,IN,FALSE,Easy Ship
282,408-4101226-7217932,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,459,LUCKNOW,UTTAR PRADESH,226010,IN,FALSE,Easy Ship
290,402-4774686-7773937,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,XL,Shipped,1,INR,339,HYDERABAD,TELANGANA,500001,IN,FALSE,Easy Ship
292,406-6386989-1689108,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,888,BARUIPUR,WEST BENGAL,700145,IN,FALSE,Easy Ship
294,408-6428766-2839536,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,487,KENDRAPARA,ODISHA,754211,IN,FALSE,Easy Ship
302,406-6586654-6641140,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,487,BENGALURU,KARNATAKA,560010,IN,FALSE,Easy Ship
308,407-2882576-2777135,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1233,HYDERABAD,TELANGANA,500089,IN,FALSE,Easy Ship
309,403-2256919-4846738,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,3XL,Shipped,1,INR,825,BENGALURU,KARNATAKA,560068,IN,FALSE,Easy Ship
313,402-4646784-8411501,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,471,CHANDI MANDIR,HARYANA,134107,IN,FALSE,Easy Ship
314,405-2788163-4515521,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,342,ujjain,MADHYA PRADESH,456010,IN,FALSE,Easy Ship
324,407-5096970-7475550,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,T-shirt,L,On the Way,0,INR,1902.86,HARDOI,UTTAR PRADESH,241001,IN,FALSE,Easy Ship
326,402-5302912-6805151,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,725,HYDERABAD,TELANGANA,500073,IN,FALSE,Easy Ship
327,407-9707366-3029944,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,S,On the Way,0,INR,473.33,NEW DELHI,DELHI,110074,IN,FALSE,Easy Ship
329,408-5540360-9479519,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,759,SHILLONG,MEGHALAYA,793008,IN,FALSE,Easy Ship
340,407-8580022-5578715,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,744,GURUGRAM,HARYANA,122018,IN,FALSE,Easy Ship
343,408-7712483-3825907,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,459,ALLAHABAD,UTTAR PRADESH,211004,IN,FALSE,Easy Ship
356,402-3660716-8589107,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,471,trivandrum,KERALA,695003,IN,FALSE,Easy Ship
359,406-9941718-1734719,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,544,BENGALURU,KARNATAKA,560072,IN,FALSE,Easy Ship
374,408-5020509-5674715,2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,0,NEW DELHI,DELHI,110096,IN,FALSE,Easy Ship
375,407-7642883-3094732,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,885,SIBSAGAR,ASSAM,785667,IN,FALSE,Easy Ship
378,405-9442254-2207515,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,6XL,Shipped,1,INR,505,Pathanapuram,KERALA,689695,IN,FALSE,Easy Ship
380,404-6026001-1717923,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,M,On the Way,0,INR,344.76,JAUNPUR,UTTAR PRADESH,222001,IN,FALSE,Easy Ship
382,406-4970885-3273941,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,666,PUNE,MAHARASHTRA,411047,IN,FALSE,Easy Ship
383,406-2942566-8263534,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,399,MAHBUBNAGAR,TELANGANA,509001,IN,FALSE,Easy Ship
384,406-7501816-7391539,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,432,Nk sweets Vikasnagar,UTTARAKHAND,248198,IN,FALSE,Easy Ship
388,408-7971979-8745937,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XS,Shipped,1,INR,0,LUDHIANA,PUNJAB,141001,IN,FALSE,Easy Ship
404,404-5848202-7366725,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Blazzer,XXL,On the Way,0,INR,734.29,HYDERABAD,TELANGANA,500056,IN,FALSE,Easy Ship
414,406-3702147-1800341,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XS,Shipped,1,INR,725,HYDERABAD,TELANGANA,500094,IN,FALSE,Easy Ship
415,404-5867260-9073129,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,XL,On the Way,0,INR,437.14,CHENNAI,TAMIL NADU,600091,IN,FALSE,Easy Ship
421,402-0251823-0845133,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,353,SHILLONG,MEGHALAYA,793022,IN,FALSE,Easy Ship
431,407-3562449-1962729,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,568,RAMANAGARA,KARNATAKA,562159,IN,FALSE,Easy Ship
433,407-7607527-1189964,2022-04-30,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,568,RAMANAGARA,KARNATAKA,562159,IN,FALSE,Easy Ship
437,171-4643830-2345965,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,T-shirt,XXL,On the Way,0,INR,570.48,MUMBAI,MAHARASHTRA,400101,IN,FALSE,Easy Ship
438,404-1051549-5381167,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,KHAMMAM,TELANGANA,507003,IN,FALSE,Easy Ship
441,408-6732772-4525113,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XS,Shipped,1,INR,0,AURANGABAD,MAHARASHTRA,431002,IN,FALSE,Easy Ship
442,171-7068385-2777168,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,631,Pune,MAHARASHTRA,411014,IN,FALSE,Easy Ship
450,408-5824761-8505932,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,noida,UTTAR PRADESH,201301,IN,FALSE,Easy Ship
466,408-0266080-9401113,2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Trousers,L,Shipped,1,INR,599,GURUGRAM,HARYANA,122022,IN,FALSE,Easy Ship
467,404-6096382-3389133,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Wallet,Free,Shipped,1,INR,329,LUDHIANA,PUNJAB,141012,IN,FALSE,Easy Ship
476,404-6734371-2217151,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,549,BENGALURU,KARNATAKA,560078,IN,FALSE,Easy Ship
479,408-6497115-2636366,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,599,HYDERABAD,TELANGANA,500067,IN,FALSE,Easy Ship
481,171-7904830-1900363,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,533,HYDERABAD,TELANGANA,500075,IN,FALSE,Easy Ship
491,406-0361691-7797129,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,362,MUMBAI,MAHARASHTRA,400095,IN,FALSE,Easy Ship
495,405-2266530-9531500,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,563,KALYAN,MAHARASHTRA,421004,IN,FALSE,Easy Ship
507,405-5489495-6651552,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,549,ALMORA,UTTARAKHAND,263601,IN,FALSE,Easy Ship
510,402-1721558-6618710,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,M,On the Way,0,INR,570.48,WARANGAL,TELANGANA,506330,IN,FALSE,Easy Ship
511,406-2138801-8731538,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,319,CHENNAI,TAMIL NADU,600089,IN,FALSE,Easy Ship
515,405-5365766-8023559,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,M,Shipped,1,INR,463,WARANGAL,TELANGANA,506001,IN,FALSE,Easy Ship
529,403-3362230-0094739,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,471,BENGALURU,KARNATAKA,560021,IN,FALSE,Easy Ship
537,408-5823964-2421167,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,XXL,On the Way,0,INR,386.67,BENGALURU,KARNATAKA,560043,IN,FALSE,Easy Ship
538,408-2752424-0976355,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,XXL,On the Way,0,INR,452.38,PATNA,BIHAR,800026,IN,FALSE,Easy Ship
552,402-3889665-2309117,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,L,Shipped,1,INR,625,PUNE,MAHARASHTRA,411001,IN,FALSE,Easy Ship
560,405-2826187-6916328,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,L,Shipped,1,INR,518,NEW DELHI,DELHI,110075,IN,FALSE,Easy Ship
569,402-1220435-6391519,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,364,THANE,MAHARASHTRA,400615,IN,FALSE,Easy Ship
579,402-5917367-0340362,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,1,INR,825,Ahmedabad,Gujarat,380054,IN,FALSE,Easy Ship
583,403-6658095-6765934,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XS,Shipped,1,INR,568,Jhajjar,HARYANA,124103,IN,FALSE,Easy Ship
595,407-8925293-2306747,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,1099,Janipur,JAMMU & KASHMIR,180007,IN,FALSE,Easy Ship
611,404-2222453-6739538,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,696,BASSEIN,MAHARASHTRA,401201,IN,FALSE,Easy Ship
552,402-3889665-2309117,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,L,Shipped,1,INR,625,PUNE,MAHARASHTRA,411001,IN,FALSE,Easy Ship
637,406-7722012-4093964,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,1249,INDORE,MADHYA PRADESH,452010,IN,FALSE,Easy Ship
651,402-8123545-4535558,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,3XL,On the Way,0,INR,358.1,COIMBATORE,TAMIL NADU,641062,IN,FALSE,Easy Ship
657,405-9201316-2870743,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,XXL,Shipped,1,INR,518,MIHAN,MAHARASHTRA,441110,IN,TRUE,Easy Ship
658,408-7966317-7457928,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,759,NEW DELHI,DELHI,110092,IN,FALSE,Easy Ship
663,171-5702903-4981901,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XS,Shipped,1,INR,888,NOIDA,UTTAR PRADESH,201301,IN,FALSE,Easy Ship
665,405-3523941-5355524,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,487,HYDERABAD,TELANGANA,502319,IN,FALSE,Easy Ship
666,405-3523941-5355524,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,597,HYDERABAD,TELANGANA,502319,IN,FALSE,Easy Ship
667,403-5082537-8368348,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,363,BENGALURU,KARNATAKA,560033,IN,FALSE,Easy Ship
674,171-5594281-0212357,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,788,SHILLONG,MEGHALAYA,793018,IN,FALSE,Easy Ship
676,405-5933927-3375545,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,T-shirt,XXL,On the Way,0,INR,1058.93,GURUGRAM,HARYANA,122001,IN,FALSE,Easy Ship
677,405-5933927-3375545,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,T-shirt,XXL,On the Way,0,INR,1249.11,GURUGRAM,HARYANA,122001,IN,FALSE,Easy Ship
680,405-2872303-9941933,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,5XL,On the Way,0,INR,700.96,AHMEDABAD,Gujarat,380015,IN,FALSE,Easy Ship
683,407-2944929-6438702,2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,662,VIJAYAWADA,ANDHRA PRADESH,520015,IN,FALSE,Easy Ship
